sample_id,status,hausdorff_distance,num_nodes_pred,num_nodes_gt,num_edges_pred,num_edges_gt,num_components_pred,error_message
S341-2_b,success,,1355,0,1156,0,199,
S3416-2_a,skipped,,,,,,,missing_label
S3416-2_b,skipped,,,,,,,missing_label
S343-2_a,skipped,,,,,,,missing_label
S343-2_b,skipped,,,,,,,missing_label
S3504-2_a,skipped,,,,,,,missing_label
S3504-2_b,skipped,,,,,,,missing_label
S3505-2_a,skipped,,,,,,,missing_label
S3505-2_b,skipped,,,,,,,missing_label
S3543-2_a,skipped,,,,,,,missing_label
S3543-2_b,skipped,,,,,,,missing_label
S3546-2_a,skipped,,,,,,,missing_label
S3546-2_b,skipped,,,,,,,missing_label
S3594-2_a,skipped,,,,,,,missing_label
S3594-2_b,skipped,,,,,,,missing_label
S3616-2_a,skipped,,,,,,,missing_label
S3616-2_b,skipped,,,,,,,missing_label
S3617-2_a,skipped,,,,,,,missing_label
S3617-2_b,skipped,,,,,,,missing_label
S3619-2_a,skipped,,,,,,,missing_label
S3619-2_b,skipped,,,,,,,missing_label
S3620-2_a,skipped,,,,,,,missing_label
S3620-2_b,skipped,,,,,,,missing_label
S3652-2_a,skipped,,,,,,,missing_label
S3652-2_b,skipped,,,,,,,missing_label
S3658-2_a,skipped,,,,,,,missing_label
S3658-2_b,skipped,,,,,,,missing_label
S3659-2_a,skipped,,,,,,,missing_label
S3659-2_b,skipped,,,,,,,missing_label
S3664-2_a,skipped,,,,,,,missing_label
S3664-2_b,skipped,,,,,,,missing_label
S3666-2_a,skipped,,,,,,,missing_label
S3666-2_b,skipped,,,,,,,missing_label
S3667-2_a,skipped,,,,,,,missing_label
S3667-2_b,skipped,,,,,,,missing_label
S3671-2_a,skipped,,,,,,,missing_label
S3671-2_b,skipped,,,,,,,missing_label
S3683-2_a,skipped,,,,,,,missing_label
S3683-2_b,skipped,,,,,,,missing_label
S3699-2_a,skipped,,,,,,,missing_label
S3699-2_b,skipped,,,,,,,missing_label
S3723-2_a,skipped,,,,,,,missing_label
S3723-2_b,skipped,,,,,,,missing_label
S3727-2_a,skipped,,,,,,,missing_label
S3727-2_b,skipped,,,,,,,missing_label
S3730-2_a,skipped,,,,,,,missing_label
S3730-2_b,skipped,,,,,,,missing_label
S3734-2_a,skipped,,,,,,,missing_label
S3734-2_b,skipped,,,,,,,missing_label
S404-2_a,skipped,,,,,,,missing_label
S404-2_b,skipped,,,,,,,missing_label
S417-2_a,skipped,,,,,,,missing_label
S417-2_b,skipped,,,,,,,missing_label
S425-2_a,skipped,,,,,,,missing_label
S425-2_b,skipped,,,,,,,missing_label
S454-2_a,skipped,,,,,,,missing_label
S454-2_b,skipped,,,,,,,missing_label
S469-2_a,skipped,,,,,,,missing_label
S469-2_b,skipped,,,,,,,missing_label
S487-2_a,success,3.637635567113306,2279,3835,2101,3755,178,
S487-2_b,success,5.092780989841706,1705,2689,1555,2609,150,
S553-2_a,skipped,,,,,,,missing_label
S553-2_b,skipped,,,,,,,missing_label
S558-2_a,success,12.399227915289599,1385,1976,1272,1912,113,
S558-2_b,success,21.46484287380539,533,770,433,727,100,
S817-2_a,skipped,,,,,,,missing_label
S817-2_b,skipped,,,,,,,missing_label
S913-2_a,skipped,,,,,,,missing_label
S913-2_b,skipped,,,,,,,missing_label
datasets,skipped,,,,,,,missing_label
